#
# http://www.opengroup.or.jp/jvc/cde/eucJP-ibmext.txt
#
0x8FF3F3	0x2170
0x8FF3F4	0x2171
0x8FF3F5	0x2172
0x8FF3F6	0x2173
0x8FF3F7	0x2174
0x8FF3F8	0x2175
0x8FF3F9	0x2176
0x8FF3FA	0x2177
0x8FF3FB	0x2178
0x8FF3FC	0x2179
0x8FF3FD	0x2160
0x8FF3FE	0x2161
0x8FF4A1	0x2162
0x8FF4A2	0x2163
0x8FF4A3	0x2164
0x8FF4A4	0x2165
0x8FF4A5	0x2166
0x8FF4A6	0x2167
0x8FF4A7	0x2168
0x8FF4A8	0x2169
0x8FF4A9	0xFF07
0x8FF4AA	0xFF02
0x8FF4AB	0x3231
0x8FF4AC	0x2116
0x8FF4AD	0x2121
0x8FF4AE	0x70BB
0x8FF4AF	0x4EFC
0x8FF4B0	0x50F4
0x8FF4B1	0x51EC
0x8FF4B2	0x5307
0x8FF4B3	0x5324
0x8FF4B4	0xFA0E
0x8FF4B5	0x548A
0x8FF4B6	0x5759
0x8FF4B7	0xFA0F
0x8FF4B8	0xFA10
0x8FF4B9	0x589E
0x8FF4BA	0x5BEC
0x8FF4BB	0x5CF5
0x8FF4BC	0x5D53
0x8FF4BD	0xFA11
0x8FF4BE	0x5FB7
0x8FF4BF	0x6085
0x8FF4C0	0x6120
0x8FF4C1	0x654E
0x8FF4C2	0x663B
0x8FF4C3	0x6665
0x8FF4C4	0xFA12
0x8FF4C5	0xF929
0x8FF4C6	0x6801
0x8FF4C7	0xFA13
0x8FF4C8	0xFA14
0x8FF4C9	0x6A6B
0x8FF4CA	0x6AE2
0x8FF4CB	0x6DF8
0x8FF4CC	0x6DF2
0x8FF4CD	0x7028
0x8FF4CE	0xFA15
0x8FF4CF	0xFA16
0x8FF4D0	0x7501
0x8FF4D1	0x7682
0x8FF4D2	0x769E
0x8FF4D3	0xFA17
0x8FF4D4	0x7930
0x8FF4D5	0xFA18
0x8FF4D6	0xFA19
0x8FF4D7	0xFA1A
0x8FF4D8	0xFA1B
0x8FF4D9	0x7AE7
0x8FF4DA	0xFA1C
0x8FF4DB	0xFA1D
0x8FF4DC	0x7DA0
0x8FF4DD	0x7DD6
0x8FF4DE	0xFA1E
0x8FF4DF	0x8362
0x8FF4E0	0xFA1F
0x8FF4E1	0x85B0
0x8FF4E2	0xFA20
0x8FF4E3	0xFA21
0x8FF4E4	0x8807
0x8FF4E5	0xFA22
0x8FF4E6	0x8B7F
0x8FF4E7	0x8CF4
0x8FF4E8	0x8D76
0x8FF4E9	0xFA23
0x8FF4EA	0xFA24
0x8FF4EB	0xFA25
0x8FF4EC	0x90DE
0x8FF4ED	0xFA26
0x8FF4EE	0x9115
0x8FF4EF	0xFA27
0x8FF4F0	0xFA28
0x8FF4F1	0x9592
0x8FF4F2	0xF9DC
0x8FF4F3	0xFA29
0x8FF4F4	0x973B
0x8FF4F5	0x974D
0x8FF4F6	0x9751
0x8FF4F7	0xFA2A
0x8FF4F8	0xFA2B
0x8FF4F9	0xFA2C
0x8FF4FA	0x999E
0x8FF4FB	0x9AD9
0x8FF4FC	0x9B72
0x8FF4FD	0xFA2D
0x8FF4FE	0x9ED1
